Time	Position	CP
332.600000	12.830641	19.438512
332.700000	12.740027	19.488127
332.800000	12.656884	19.562783
332.900000	12.778485	19.598743
333.000000	13.020261	19.676242
333.100000	13.046714	19.737705
333.200000	13.062219	19.756423
333.300000	13.128118	19.955283
333.400000	13.100822	20.048490
333.500000	13.130348	20.010950
333.600000	13.166745	19.928901
333.700000	12.966218	19.970447
333.800000	12.983791	19.986783
333.900000	13.022493	19.985162
334.000000	13.145823	19.996054
334.100000	13.081123	20.006611
334.200000	12.956775	20.057416
334.300000	12.968299	20.031870
334.400000	12.973390	20.206205
334.500000	12.996194	20.277185
334.600000	12.987394	20.210706
334.700000	13.068564	19.964591
334.800000	13.268676	19.938583
334.900000	13.454073	19.915815
335.000000	13.577985	19.870148
335.100000	13.597857	19.680938
335.200000	13.671514	19.556924
335.300000	13.673816	19.665480
335.400000	13.555951	19.851433
335.500000	13.553687	19.831391
335.600000	13.425314	19.865027
335.700000	13.412688	19.914963
335.800000	13.421244	20.033664
335.900000	13.602703	19.897902
336.000000	13.857940	19.946672
336.100000	13.896978	20.153052
336.200000	13.960324	20.193528
336.300000	14.041412	20.076915
336.400000	14.004348	20.022874
336.500000	13.932158	20.096346
336.600000	13.823047	19.951890
336.700000	13.768101	19.869161
336.800000	13.609173	19.818329
336.900000	13.552114	19.931573
337.000000	13.473803	19.891388
337.100000	13.562850	19.993714
337.200000	13.663462	20.103288
337.300000	13.608113	20.036988
337.400000	13.614656	20.156918
337.500000	13.502845	20.206696
337.600000	13.478462	20.203536
337.700000	13.524552	20.157478
337.800000	13.436380	20.216308
337.900000	13.357994	20.284908
338.000000	13.428732	20.315414
338.100000	13.465706	20.243631
338.200000	13.459602	20.259131
338.300000	13.440519	20.305010
338.400000	13.343468	20.349403
338.500000	13.308088	20.352457
338.600000	13.364423	20.412978
338.700000	13.371796	20.490625
338.800000	13.457111	20.712655
338.900000	13.392914	20.855094
339.000000	13.487631	21.096563
339.100000	13.422709	21.262478
339.200000	13.430248	21.173810
339.300000	13.406914	21.228049
339.400000	13.337925	21.112251
339.500000	13.295378	21.089875
339.600000	13.259526	21.099875
339.700000	13.118096	20.959839
339.800000	13.070508	20.866606
339.900000	13.128737	20.960810
340.000000	12.959911	20.839133
340.100000	12.902057	20.817644
340.200000	12.965033	20.838955
340.300000	13.043006	20.716455
340.400000	12.959077	20.875228
340.500000	12.925027	21.008380
340.600000	12.777578	21.014261
340.700000	12.872633	20.901040
340.800000	12.964213	20.896788
340.900000	12.977203	20.711042
341.000000	13.048998	20.702068
341.100000	13.021217	20.515592
341.200000	12.971127	20.324789
341.300000	13.081155	20.203811
341.400000	13.153730	20.311409
341.500000	13.123436	20.467420
341.600000	13.054958	20.635279
341.700000	13.192574	20.702370
341.800000	13.209927	20.700023
341.900000	13.314522	20.706262
342.000000	13.238734	20.917553
342.100000	13.114412	21.004324
342.200000	13.230715	20.962376
342.300000	13.288997	20.963342
342.400000	13.322856	20.974116
342.500000	13.380462	21.027182
342.600000	13.430751	21.182724
342.700000	13.506837	21.155765
342.800000	13.452331	21.126388
342.900000	13.395297	21.193862
343.000000	13.349688	21.275740
343.100000	13.309887	21.280110
343.200000	13.280650	21.268628
343.300000	13.355646	21.276984
343.400000	13.420092	21.266885
343.500000	13.311030	21.256442
343.600000	13.207568	21.211577
343.700000	13.110448	21.364618
343.800000	12.981637	21.121686
343.900000	12.894006	21.069130
344.000000	12.917253	21.040356
344.100000	13.048662	21.020913
344.200000	13.178234	20.966093
344.300000	13.158345	20.978532
344.400000	13.084054	21.033703
344.500000	13.094727	21.141291
344.600000	12.944281	21.327311
344.700000	12.789425	21.181189
344.800000	12.636097	21.227556
344.900000	12.700536	21.333841
345.000000	12.753748	21.414191
345.100000	12.860094	21.295784
345.200000	12.587822	21.249243
345.300000	12.444949	21.227113
345.400000	12.468899	21.318205
345.500000	12.489407	21.334240
345.600000	12.582689	21.433465
345.700000	12.632452	21.619078
345.800000	12.607885	21.327964
345.900000	12.595091	21.313006
346.000000	12.437956	21.383572
346.100000	12.428288	21.400409
346.200000	12.367158	21.448742
346.300000	12.226841	21.554034
346.400000	12.097494	21.617481
346.500000	12.033898	21.546543
346.600000	12.146037	21.298922
346.700000	12.315869	21.266669
346.800000	12.312690	21.025730
346.900000	12.091109	20.934101
347.000000	11.976476	20.690284
347.100000	11.995712	20.810832
347.200000	11.947065	20.812876
347.300000	12.058817	20.998567
347.400000	12.251937	21.184795
347.500000	12.286660	21.392612
347.600000	12.340935	21.558459
347.700000	12.328773	21.589553
347.800000	12.280734	21.391299
347.900000	12.128227	21.339166
348.000000	12.079995	21.363838
348.100000	12.176131	21.407942
348.200000	12.206872	21.463062
348.300000	12.220764	21.429065
348.400000	12.329021	21.457917
348.500000	12.522834	21.653052
348.600000	12.666170	21.609370
348.700000	12.674215	21.734171
348.800000	12.753620	21.808647
348.900000	12.794113	21.808832
349.000000	12.815317	21.742475
349.100000	12.854589	21.876572
349.200000	12.944016	21.947860
349.300000	13.021048	21.920849
349.400000	12.838829	21.865194
349.500000	12.623643	22.009214
349.600000	12.320717	22.083967
349.700000	12.335114	22.169509
349.800000	12.487176	22.268754
349.900000	12.510599	22.432748
350.000000	12.401014	22.485078
350.100000	12.279998	22.401421
350.200000	12.168637	22.321000
350.300000	12.182282	22.203442
350.400000	12.105758	22.192603
350.500000	12.185802	22.212570
350.600000	12.259164	22.164307
350.700000	12.349070	21.976579
350.800000	12.413239	22.006893
350.900000	12.455447	22.176658
351.000000	12.596050	22.224707
351.100000	12.754816	22.188055
351.200000	12.579176	22.139176
351.300000	12.630142	22.099877
351.400000	12.540780	22.205395
351.500000	12.707911	22.107444
351.600000	12.787405	22.154502
351.700000	12.976469	22.016424
351.800000	12.806706	22.148546
351.900000	12.824863	22.276963
352.000000	12.912350	22.435014
352.100000	13.051576	22.415463
352.200000	13.141585	22.354615
352.300000	12.987403	22.249812
352.400000	13.134997	22.438002
352.500000	13.306585	22.357611
352.600000	13.452056	22.339061
