Time	AutoCorrelation
31.300000	-0.002455
31.400000	-0.002422
31.500000	-0.002600
31.600000	-0.002769
31.700000	-0.002866
31.800000	-0.002566
31.900000	-0.002175
32.000000	-0.002028
32.100000	-0.001938
32.200000	-0.002104
32.300000	-0.001731
32.400000	-0.000957
32.500000	-0.000357
32.600000	0.000125
32.700000	0.000243
32.800000	0.000369
32.900000	0.000184
33.000000	0.000258
33.100000	0.000573
33.200000	0.000996
33.300000	0.001564
33.400000	0.001832
33.500000	0.001626
33.600000	0.001298
33.700000	0.000844
33.800000	0.000324
33.900000	0.000228
34.000000	0.000132
34.100000	0.000262
34.200000	0.000210
34.300000	0.000103
34.400000	-0.000003
34.500000	-0.000104
34.600000	-0.000429
34.700000	-0.001085
34.800000	-0.001765
34.900000	-0.002511
35.000000	-0.002901
35.100000	-0.003220
35.200000	-0.003343
35.300000	-0.003276
35.400000	-0.002738
35.500000	-0.002250
35.600000	-0.002050
35.700000	-0.001994
35.800000	-0.001861
35.900000	-0.001643
36.000000	-0.001389
36.100000	-0.001749
36.200000	-0.001615
36.300000	-0.001246
36.400000	-0.001096
36.500000	-0.000796
36.600000	-0.000834
36.700000	-0.001190
36.800000	-0.001631
36.900000	-0.002200
37.000000	-0.002535
37.100000	-0.002698
37.200000	-0.002647
37.300000	-0.002542
37.400000	-0.002106
37.500000	-0.002007
37.600000	-0.002207
37.700000	-0.002836
37.800000	-0.003083
37.900000	-0.003140
38.000000	-0.003072
38.100000	-0.003130
38.200000	-0.002993
38.300000	-0.003172
38.400000	-0.003009
38.500000	-0.003212
38.600000	-0.003772
38.700000	-0.003907
38.800000	-0.004117
38.900000	-0.004390
39.000000	-0.004375
39.100000	-0.004186
39.200000	-0.003763
39.300000	-0.003211
39.400000	-0.002648
39.500000	-0.002528
39.600000	-0.002594
39.700000	-0.002837
39.800000	-0.003083
39.900000	-0.002965
40.000000	-0.002780
40.100000	-0.002763
40.200000	-0.002668
40.300000	-0.002571
40.400000	-0.002718
40.500000	-0.002888
40.600000	-0.002864
40.700000	-0.002684
40.800000	-0.002557
40.900000	-0.002172
41.000000	-0.001948
41.100000	-0.001427
41.200000	-0.001123
41.300000	-0.000842
41.400000	-0.000366
41.500000	-0.000105
41.600000	-0.000236
41.700000	-0.000500
41.800000	-0.000583
41.900000	-0.000308
42.000000	-0.000050
42.100000	-0.000174
42.200000	-0.000320
42.300000	-0.000549
42.400000	-0.000589
42.500000	-0.000608
42.600000	-0.000989
42.700000	-0.001468
42.800000	-0.001882
42.900000	-0.001913
43.000000	-0.001871
43.100000	-0.001580
43.200000	-0.001332
43.300000	-0.001277
43.400000	-0.001261
43.500000	-0.001062
43.600000	-0.000798
43.700000	-0.000661
43.800000	-0.000235
43.900000	0.000002
44.000000	0.000210
44.100000	0.000399
44.200000	0.000389
