Time	Position	CP
537.800000	137.696484	134.360517
537.900000	137.726709	134.511439
538.000000	137.820741	134.765810
538.100000	137.980451	134.848875
538.200000	138.132049	134.885757
538.300000	138.268580	134.829367
538.400000	138.570804	134.682161
538.500000	138.688784	134.650048
538.600000	138.930742	134.652754
538.700000	139.039479	134.690093
538.800000	139.036483	134.657157
538.900000	138.965544	134.683421
539.000000	138.900565	134.750037
539.100000	138.868343	134.845259
539.200000	138.938797	134.922820
539.300000	138.944526	134.976875
539.400000	139.044106	134.936613
539.500000	139.212066	134.879771
539.600000	139.258046	134.845888
539.700000	139.439397	134.841361
539.800000	139.383586	134.807201
539.900000	139.520873	134.749716
540.000000	139.430567	134.727053
540.100000	139.582141	134.524906
540.200000	139.393541	134.580791
540.300000	139.147990	134.694043
540.400000	139.014116	134.714320
540.500000	139.043915	134.786742
540.600000	139.054162	134.866260
540.700000	139.122900	134.926280
540.800000	139.130734	134.902503
540.900000	139.172882	134.922164
541.000000	139.156229	134.877343
541.100000	139.298050	134.740005
541.200000	139.272361	134.658529
541.300000	139.208255	134.676208
541.400000	139.168801	134.806096
541.500000	139.103094	135.026553
541.600000	138.914351	135.198215
541.700000	138.908960	135.298296
541.800000	138.928314	135.346757
541.900000	139.084728	135.411589
542.000000	139.260022	135.477472
542.100000	139.429769	135.524209
542.200000	139.533991	135.494371
542.300000	139.437062	135.499748
542.400000	139.475388	135.490078
542.500000	139.690172	135.550921
542.600000	139.640802	135.639058
542.700000	139.642956	135.755255
542.800000	139.714365	135.807088
542.900000	139.743711	135.834110
543.000000	139.558784	135.854484
543.100000	139.789334	135.907348
543.200000	139.823930	135.877238
543.300000	139.870044	135.941299
543.400000	139.916785	136.054080
543.500000	140.111951	136.155984
543.600000	140.203487	136.234581
543.700000	140.116189	136.286820
543.800000	140.153202	136.295049
543.900000	140.244044	136.242855
544.000000	140.390922	136.180281
544.100000	140.496500	136.101287
544.200000	140.552077	135.898549
544.300000	140.576001	135.794612
544.400000	140.687835	135.871849
544.500000	140.628609	136.081384
544.600000	140.359821	136.148680
544.700000	140.360928	136.237992
544.800000	140.346673	136.297266
544.900000	140.480357	136.306650
545.000000	140.539995	136.344271
545.100000	140.498395	136.338994
545.200000	140.619087	136.357320
545.300000	140.638285	136.372380
545.400000	140.622295	136.509768
545.500000	140.576157	136.599589
545.600000	140.512770	136.547496
545.700000	140.561636	136.526686
545.800000	140.483235	136.420758
545.900000	140.563444	136.272743
546.000000	140.603972	136.227802
546.100000	140.550274	136.174982
546.200000	140.390911	136.170901
546.300000	140.236480	136.208794
546.400000	140.177184	136.293414
546.500000	140.181986	136.283516
546.600000	140.085580	136.242681
546.700000	140.069183	136.255021
546.800000	140.018705	136.275690
546.900000	140.011117	136.373250
547.000000	140.053697	136.421000
547.100000	140.095128	136.496437
547.200000	140.171754	136.503290
547.300000	140.271217	136.423312
547.400000	140.249667	136.249123
547.500000	140.333329	136.199622
547.600000	140.319533	136.210641
547.700000	140.414426	136.211556
547.800000	140.397327	136.185849
547.900000	140.466637	136.096892
548.000000	140.515762	136.074369
548.100000	140.502589	136.208366
548.200000	140.452061	136.278869
548.300000	140.350558	136.375553
548.400000	140.457993	136.525976
548.500000	140.444354	136.680843
548.600000	140.544139	136.883654
548.700000	140.622509	137.055476
548.800000	140.951169	137.314258
548.900000	141.271377	137.403334
549.000000	141.483226	137.566211
549.100000	141.602369	137.636624
549.200000	141.536392	137.732825
549.300000	141.573359	137.685870
549.400000	141.649102	137.602604
549.500000	141.852139	137.474951
549.600000	141.835898	137.444876
549.700000	141.679145	137.496827
549.800000	141.732356	137.622784
549.900000	141.748767	137.665257
550.000000	141.917302	137.674995
550.100000	142.047796	137.774209
550.200000	142.221313	137.806436
550.300000	142.136745	137.826515
550.400000	142.206515	137.901201
550.500000	142.326035	137.972129
550.600000	142.485482	137.998049
550.700000	142.407256	138.008841
550.800000	142.312777	138.029694
550.900000	142.267067	137.933863
551.000000	142.298794	137.708725
551.100000	142.294863	137.549152
551.200000	142.110541	137.417306
551.300000	141.967536	137.280137
551.400000	141.744758	137.259872
551.500000	141.610334	137.195916
551.600000	141.409229	137.191708
551.700000	141.385210	137.369085
551.800000	141.378756	137.540499
551.900000	141.451477	137.716089
552.000000	141.537972	137.790554
552.100000	141.666095	137.858675
552.200000	141.714419	137.933320
552.300000	141.624507	138.018998
552.400000	141.750903	138.253127
552.500000	141.880305	138.396822
552.600000	142.088653	138.464580
552.700000	142.398178	138.492521
552.800000	142.633851	138.389180
552.900000	142.826680	138.294802
553.000000	142.879790	138.276260
553.100000	142.805306	138.249994
553.200000	142.816614	138.220338
553.300000	142.683249	138.118207
553.400000	142.485356	138.074178
553.500000	142.432914	137.964331
553.600000	142.308973	137.995265
553.700000	142.421459	138.194963
553.800000	142.467259	138.326157
553.900000	142.307272	138.370211
554.000000	142.225178	138.341062
554.100000	142.129342	138.363759
554.200000	142.163574	138.405489
554.300000	142.159226	138.444921
554.400000	142.300619	138.375489
554.500000	142.318881	138.327584
554.600000	142.333067	138.379083
554.700000	142.389469	138.506186
554.800000	142.513087	138.489099
554.900000	142.534498	138.460768
555.000000	142.452949	138.421509
555.100000	142.358644	138.435619
555.200000	142.420548	138.445690
555.300000	142.468576	138.437888
555.400000	142.625042	138.399952
555.500000	142.729998	138.342082
555.600000	142.687610	138.385298
555.700000	142.583282	138.508344
555.800000	142.672430	138.697577
555.900000	142.801216	138.949287
556.000000	142.876178	139.036982
556.100000	143.150359	139.030630
556.200000	143.227057	139.112225
556.300000	143.351125	139.228258
556.400000	143.510392	139.397675
556.500000	143.581711	139.471119
556.600000	143.702451	139.545864
556.700000	143.743554	139.584727
556.800000	143.697603	139.607295
556.900000	143.784735	139.572695
557.000000	143.765715	139.501652
557.100000	143.803705	139.445199
557.200000	143.812982	139.433456
557.300000	143.735318	139.464272
557.400000	143.787022	139.428686
557.500000	143.675089	139.472926
557.600000	143.654092	139.508845
557.700000	143.635469	139.489662
557.800000	143.625721	139.381888
557.900000	143.680949	139.233290
558.000000	143.828532	139.185310
558.100000	143.868537	139.125233
558.200000	143.778720	139.101081
558.300000	143.661332	139.166262
558.400000	143.786897	139.243838
558.500000	143.791183	139.272965
558.600000	143.729472	139.348360
558.700000	143.583188	139.338949
558.800000	143.447846	139.342557
558.900000	143.484991	139.403636
559.000000	143.658807	139.509715
559.100000	143.601694	139.681250
559.200000	143.698650	139.684492
559.300000	143.721037	139.660082
559.400000	143.637371	139.561810
559.500000	143.660611	139.480373
559.600000	143.580258	139.285997
559.700000	143.632636	139.190360
559.800000	143.459821	139.297675
559.900000	143.506774	139.365019
560.000000	143.511977	139.459419
560.100000	143.570817	139.653608
560.200000	143.599764	139.821277
560.300000	143.729508	139.983769
560.400000	143.910768	140.233785
560.500000	144.071216	140.333785
560.600000	144.082683	140.447313
560.700000	144.239564	140.552527
560.800000	144.428317	140.569628
560.900000	144.492606	140.573509
561.000000	144.489488	140.641310
561.100000	144.613371	140.611840
561.200000	144.598622	140.624675
561.300000	144.567650	140.570831
561.400000	144.692763	140.471331
561.500000	144.634600	140.378006
561.600000	144.557384	140.279366
561.700000	144.700268	140.153228
561.800000	144.624253	140.023625
561.900000	144.576412	139.866771
