Lag Time	AutoCorrelation
27.300000	-0.000724
27.400000	-0.000733
27.500000	-0.000750
27.600000	-0.000807
27.700000	-0.000863
27.800000	-0.000891
27.900000	-0.000843
28.000000	-0.000768
28.100000	-0.000715
28.200000	-0.000613
28.300000	-0.000494
28.400000	-0.000391
28.500000	-0.000322
28.600000	-0.000273
28.700000	-0.000253
28.800000	-0.000302
28.900000	-0.000415
29.000000	-0.000516
29.100000	-0.000532
29.200000	-0.000488
29.300000	-0.000424
29.400000	-0.000358
29.500000	-0.000263
29.600000	-0.000197
29.700000	-0.000130
29.800000	-0.000025
29.900000	0.000071
30.000000	0.000160
30.100000	0.000216
30.200000	0.000245
30.300000	0.000227
30.400000	0.000170
30.500000	0.000108
30.600000	0.000049
30.700000	0.000069
30.800000	0.000138
30.900000	0.000169
31.000000	0.000119
31.100000	-0.000010
31.200000	-0.000183
31.300000	-0.000367
31.400000	-0.000531
31.500000	-0.000619
31.600000	-0.000632
31.700000	-0.000617
31.800000	-0.000553
31.900000	-0.000509
32.000000	-0.000552
32.100000	-0.000690
32.200000	-0.000812
32.300000	-0.000905
32.400000	-0.000989
32.500000	-0.001066
32.600000	-0.001111
32.700000	-0.001141
32.800000	-0.001153
32.900000	-0.001109
33.000000	-0.001032
33.100000	-0.000966
33.200000	-0.000927
33.300000	-0.000895
33.400000	-0.000867
33.500000	-0.000805
33.600000	-0.000749
33.700000	-0.000726
33.800000	-0.000736
33.900000	-0.000795
34.000000	-0.000879
34.100000	-0.000954
34.200000	-0.000964
34.300000	-0.000920
34.400000	-0.000808
34.500000	-0.000655
34.600000	-0.000557
34.700000	-0.000497
34.800000	-0.000430
34.900000	-0.000380
35.000000	-0.000346
35.100000	-0.000291
35.200000	-0.000293
35.300000	-0.000321
35.400000	-0.000360
35.500000	-0.000377
35.600000	-0.000377
35.700000	-0.000350
35.800000	-0.000299
35.900000	-0.000229
36.000000	-0.000158
36.100000	-0.000074
36.200000	-0.000016
36.300000	0.000060
36.400000	0.000166
36.500000	0.000238
36.600000	0.000305
36.700000	0.000396
36.800000	0.000495
36.900000	0.000593
37.000000	0.000596
37.100000	0.000547
37.200000	0.000504
37.300000	0.000426
37.400000	0.000377
37.500000	0.000355
37.600000	0.000354
37.700000	0.000394
37.800000	0.000442
37.900000	0.000521
38.000000	0.000591
38.100000	0.000631
38.200000	0.000656
38.300000	0.000638
38.400000	0.000634
38.500000	0.000617
38.600000	0.000562
38.700000	0.000513
38.800000	0.000465
38.900000	0.000390
39.000000	0.000309
39.100000	0.000252
39.200000	0.000213
39.300000	0.000163
39.400000	0.000156
39.500000	0.000115
39.600000	0.000081
39.700000	0.000059
39.800000	0.000040
39.900000	0.000033
40.000000	0.000039
40.100000	0.000057
40.200000	0.000041
40.300000	0.000081
40.400000	0.000120
40.500000	0.000145
40.600000	0.000136
40.700000	0.000125
40.800000	0.000084
40.900000	0.000027
41.000000	-0.000044
41.100000	-0.000088
41.200000	-0.000113
41.300000	-0.000177
41.400000	-0.000262
41.500000	-0.000346
